ID,URL,Phrase,HasPhrase,Negated,HandsVisible,HandsFree,SpeakerName,Duplicated,ExtraMod,HandsMoving,WhichHand,HandConfig,HandSpecific,HorizontalMovement,HandGap,OfInterest,Comments
3146,http://archive.org/download/CSPAN_20111224_174000_Center_for.../CSPAN_20111224_174000_Center_for....mp4?t=3137/3167&ignore=x.mp4,tiny_number,yes,no,both,one/object,jamelle bouie,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
1483,https://archive.org/download/RT_20120728_123000/RT_20120728_123000.mp4?t=280/350&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2164,https://archive.org/download/KTVU_20170823_190000_KTVU_FOX_2_News_at_Noon/KTVU_20170823_190000_KTVU_FOX_2_News_at_Noon.mp4?t=3265/3335&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2345,http://archive.org/download/MSNBCW_20140522_010000_The_Rachel_Maddow_Show/MSNBCW_20140522_010000_The_Rachel_Maddow_Show.mp4?t=784/814&ignore=x.mp4,huge_number,yes,no,both,both/oneobject,rachel maddow,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
6,https://archive.org/download/RT_20180602_000000_News/RT_20180602_000000_News.mp4?t=987/1057&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1003,https://archive.org/download/DW_20200331_070000_DW_News/DW_20200331_070000_DW_News.mp4?t=769/839&ignore=x.mp4,large_number,yes,no,both,both/oneobject,carl nasman,no,no,no,NA,NA,NA,NA,NA,no,NA
2824,https://archive.org/download/CNNW_20111026_030000_Erin_Burnett_OutFront/CNNW_20111026_030000_Erin_Burnett_OutFront.mp4?t=306/376&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
57,https://archive.org/download/SFGTV_20131001_020000/SFGTV_20131001_020000.mp4?t=779/849&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1231,http://archive.org/download/WUSA_20110513_210000_9News_Now_at_5pm/WUSA_20110513_210000_9News_Now_at_5pm.mp4?t=2076/2106&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
479,https://archive.org/download/BLOOMBERG_20170905_220000_Charlie_Rose/BLOOMBERG_20170905_220000_Charlie_Rose.mp4?t=969/1039&ignore=x.mp4,large_number,yes,no,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
2469,https://archive.org/download/CSPAN3_20190319_010000_The_Civil_War_Southern_Unionists_in_the_Civil_War/CSPAN3_20190319_010000_The_Civil_War_Southern_Unionists_in_the_Civil_War.mp4?t=2744/2814&ignore=x.mp4,tiny_number,yes,no,one,one,elizabeth varon,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
3121,https://archive.org/download/CNNW_20181112_230000_Situation_Room_With_Wolf_Blitzer/CNNW_20181112_230000_Situation_Room_With_Wolf_Blitzer.mp4?t=687/757&ignore=x.mp4,large_number,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2373,https://archive.org/download/WTVT_20160131_140000_Fox_News_Sunday_With_Chris_Wallace/WTVT_20160131_140000_Fox_News_Sunday_With_Chris_Wallace.mp4?t=2680/2750&ignore=x.mp4,tiny_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
42,https://archive.org/download/DW_20171030_083000_Tomorrow_Today_-_The_Science_Magazine/DW_20171030_083000_Tomorrow_Today_-_The_Science_Magazine.mp4?t=858/928&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
3161,https://archive.org/download/WMPT_20120531_090000_BBC_World_News/WMPT_20120531_090000_BBC_World_News.mp4?t=293/363&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1954,http://archive.org/download/KPIX_20111228_150000_The_Early_Show/KPIX_20111228_150000_The_Early_Show.mp4?t=630/660&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1857,https://archive.org/download/BBCNEWS_20180629_130000_Afternoon_Live/BBCNEWS_20180629_130000_Afternoon_Live.mp4?t=2818/2888&ignore=x.mp4,tiny_number,yes,no,both,one,chris morris,no,no,no,NA,NA,NA,NA,NA,no,gesture but finger movement restricted
128,https://archive.org/download/FBC_20160410_220000_Sunday_Morning_Futures_With_Maria_Bartiromo/FBC_20160410_220000_Sunday_Morning_Futures_With_Maria_Bartiromo.mp4?t=262/332&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1682,https://archive.org/download/CSPAN_20180330_140300_Children_Families_and_the_Opioid_Epidemic/CSPAN_20180330_140300_Children_Families_and_the_Opioid_Epidemic.mp4?t=3559/3629&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1630,https://archive.org/download/CSPAN2_20140422_063000_Key_Capitol_Hill_Hearings/CSPAN2_20140422_063000_Key_Capitol_Hill_Hearings.mp4?t=3894/3964&ignore=x.mp4,small_number,yes,no,both,both,john stauffer,no,no,yes,both,open,in,out,torso_less,no,NA
1403,https://archive.org/download/ALJAZAM_20150525_100000_News/ALJAZAM_20150525_100000_News.mp4?t=2590/2660&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
21,https://archive.org/download/SFGTV2_20130301_013000/SFGTV2_20130301_013000.mp4?t=589/659&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2148,https://archive.org/download/RT_20120728_050000/RT_20120728_050000.mp4?t=135/205&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2681,http://archive.org/download/CSPAN3_20120330_170000/CSPAN3_20120330_170000.mp4?t=1541/1571&ignore=x.mp4,tiny_number,yes,no,one,one,edward miliband,no,no,yes,R,closed,fist,NA,NA,no,NA
1553,https://archive.org/download/WBFF_20100423_083000_First_Business/WBFF_20100423_083000_First_Business.mp4?t=871/941&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
25,https://archive.org/download/WOFL_20160217_100000_Good_Day__5am/WOFL_20160217_100000_Good_Day__5am.mp4?t=863/933&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
620,http://archive.org/download/MSNBCW_20131122_000000_Hardball_With_Chris_Matthews/MSNBCW_20131122_000000_Hardball_With_Chris_Matthews.mp4?t=1525/1555&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
792,http://archive.org/download/MSNBCW_20121006_120000_Up_W_Chris_Hayes/MSNBCW_20121006_120000_Up_W_Chris_Hayes.mp4?t=3799/3829&ignore=x.mp4,tiny_number,yes,no,both,both,avik roy,no,no,yes,both,open,in,out,head_less,no,NA
1124,https://archive.org/download/BLOOMBERG_20160623_150000_Bloomberg_Markets_European_Close/BLOOMBERG_20160623_150000_Bloomberg_Markets_European_Close.mp4?t=2622/2692&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1089,https://archive.org/download/RT_20130728_190000_Headline_News/RT_20130728_190000_Headline_News.mp4?t=409/479&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
160,https://archive.org/download/RT_20130426_220000_Headline_News/RT_20130426_220000_Headline_News.mp4?t=663/733&ignore=x.mp4,large_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1282,http://archive.org/download/MSNBCW_20141013_100000_Morning_Joe/MSNBCW_20141013_100000_Morning_Joe.mp4?t=8993/9023&ignore=x.mp4,tiny_number,yes,no,both,both,nicholas kristof,no,no,yes,both,open,up,neither,torso_more,no,left hand moves more than right but both look like they're moving
2505,http://archive.org/download/WUSA_20111014_110000_The_Early_Show/WUSA_20111014_110000_The_Early_Show.mp4?t=431/461&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
